Time [s],Value,Parity Error,Framing Error
13.8275950000,0x58,,Error
13.8292700000,0x8B,,
13.8303200000,0xFD,,
13.8313700000,0x8B,,
13.8324200000,0xF9,,
13.8334700000,0x8B,,
13.8345250000,0x7D,,
13.8355750000,0x59,,
13.8366250000,0x8B,,
13.8376750000,0x8B,,
13.8387250000,0xD9,,
13.8397750000,0x8B,,
13.8408250000,0x71,,
13.8418800000,0x83,,
13.8429300000,0x00,,Error
14.0992500000,0x58,,Error
14.1009250000,0x8B,,
14.1019750000,0xFD,,
14.1030250000,0x8B,,
14.1040800000,0xF9,,
14.1051300000,0x8B,,
14.1061800000,0x7D,,
14.1072300000,0x59,,
14.1082800000,0x8B,,
14.1093300000,0x8B,,
14.1103800000,0xD9,,
14.1114350000,0x8B,,
14.1124850000,0x71,,
14.1135350000,0x83,,
14.1145850000,0x00,,Error
14.3691900000,0x58,,Error
14.3708650000,0x8B,,
14.3719150000,0xFD,,
14.3729650000,0x8B,,
14.3740150000,0xF9,,
14.3750650000,0x8B,,
14.3761200000,0x7D,,
14.3771700000,0x59,,
14.3782200000,0x8B,,
14.3792700000,0x8B,,
14.3803200000,0xD9,,
14.3813700000,0x8B,,
14.3824200000,0x71,,
14.3834750000,0x83,,
14.3845250000,0x00,,Error
14.6290450000,0x58,,Error
14.6307200000,0x8B,,
14.6317700000,0xFD,,
14.6328200000,0x8B,,
14.6338700000,0xF9,,
14.6349200000,0x8B,,
14.6359700000,0x7D,,
14.6370200000,0x59,,
14.6380750000,0x8B,,
14.6391250000,0x8B,,
14.6401750000,0xD9,,
14.6412250000,0x8B,,
14.6422750000,0x71,,
14.6433250000,0x83,,
14.6443750000,0x00,,Error
14.8974050000,0x58,,Error
14.8990800000,0x8B,,
14.9001300000,0xFD,,
14.9011800000,0x8B,,
14.9022300000,0xF9,,
14.9032800000,0x8B,,
14.9043300000,0x7D,,
14.9053800000,0x59,,
14.9064350000,0x8B,,
14.9074850000,0x8B,,
14.9085350000,0xD9,,
14.9095850000,0x8B,,
14.9106350000,0x71,,
14.9116850000,0x83,,
14.9127350000,0x00,,Error
15.1574550000,0x58,,Error
15.1591300000,0x8B,,
15.1601800000,0xFD,,
15.1612300000,0x8B,,
15.1622800000,0xF9,,
15.1633300000,0x8B,,
15.1643800000,0x7D,,
15.1654350000,0x59,,
15.1664850000,0x8B,,
15.1675350000,0x8B,,
15.1685850000,0xD9,,
15.1696350000,0x8B,,
15.1706850000,0x71,,
15.1717350000,0x83,,
15.1727900000,0x00,,Error
15.4287400000,0x58,,Error
15.4304150000,0x8B,,
15.4314700000,0xFD,,
15.4325200000,0x8B,,
15.4335700000,0xF9,,
15.4346200000,0x8B,,
15.4356700000,0x7D,,
15.4367200000,0x59,,
15.4377700000,0x8B,,
15.4388250000,0x8B,,
15.4398750000,0xD9,,
15.4409250000,0x8B,,
15.4419750000,0x71,,
15.4430250000,0x83,,
15.4440750000,0x00,,Error
15.6993650000,0x58,,Error
15.7010400000,0x8B,,
15.7020900000,0xFD,,
15.7031450000,0x8B,,
15.7041950000,0xF9,,
15.7052450000,0x8B,,
15.7062950000,0x7D,,
15.7073450000,0x59,,
15.7083950000,0x8B,,
15.7094450000,0x8B,,
15.7105000000,0xD9,,
15.7115500000,0x8B,,
15.7126000000,0x71,,
15.7136500000,0x83,,
15.7147000000,0x00,,Error
15.9586700000,0x58,,Error
15.9603450000,0x8B,,
15.9613950000,0xFD,,
15.9624450000,0x8B,,
15.9634950000,0xF9,,
15.9645450000,0x8B,,
15.9655950000,0x7D,,
15.9666450000,0x59,,
15.9677000000,0x8B,,
15.9687500000,0x8B,,
15.9698000000,0xD9,,
15.9708500000,0x8B,,
15.9719000000,0x71,,
15.9729500000,0x83,,
15.9740000000,0x00,,Error
16.2186650000,0x58,,Error
16.2203400000,0x8B,,
16.2213900000,0xFD,,
16.2224400000,0x8B,,
16.2234900000,0xF9,,
16.2245450000,0x8B,,
16.2255950000,0x7D,,
16.2266450000,0x59,,
16.2276950000,0x8B,,
16.2287450000,0x8B,,
16.2297950000,0xD9,,
16.2308450000,0x8B,,
16.2319000000,0x71,,
16.2329500000,0x83,,
16.2340000000,0x00,,Error
16.4891100000,0x58,,Error
16.4907850000,0x8B,,
16.4918350000,0xFD,,
16.4928850000,0x8B,,
16.4939400000,0xF9,,
16.4949900000,0x8B,,
16.4960400000,0x7D,,
16.4970900000,0x59,,
16.4981400000,0x8B,,
16.4991900000,0x8B,,
16.5002400000,0xD9,,
16.5012950000,0x8B,,
16.5023450000,0x71,,
16.5033950000,0x83,,
16.5044450000,0x00,,Error
16.7600000000,0x58,,Error
16.7616750000,0x8B,,
16.7627250000,0xFD,,
16.7637750000,0x8B,,
16.7648250000,0xF9,,
16.7658750000,0x8B,,
16.7669250000,0x7D,,
16.7679800000,0x59,,
16.7690300000,0x8B,,
16.7700800000,0x8B,,
16.7711300000,0xD9,,
16.7721800000,0x8B,,
16.7732300000,0x71,,
16.7742800000,0x83,,
16.7753350000,0x00,,Error
17.0201100000,0x58,,Error
17.0217850000,0x8B,,
17.0228350000,0xFD,,
17.0238850000,0x8B,,
17.0249350000,0xF9,,
17.0259850000,0x8B,,
17.0270350000,0x7D,,
17.0280900000,0x59,,
17.0291400000,0x8B,,
17.0301900000,0x8B,,
17.0312400000,0xD9,,
17.0322900000,0x8B,,
17.0333400000,0x71,,
17.0343900000,0x83,,
17.0354400000,0x00,,Error
17.2811500000,0x58,,Error
17.2828250000,0x8B,,
17.2838750000,0xFD,,
17.2849250000,0x8B,,
17.2859750000,0xF9,,
17.2870250000,0x8B,,
17.2880750000,0x7D,,
17.2891300000,0x59,,
17.2901800000,0x8B,,
17.2912300000,0x8B,,
17.2922800000,0xD9,,
17.2933300000,0x8B,,
17.2943800000,0x71,,
17.2954300000,0x83,,
17.2964800000,0x00,,Error
17.5513800000,0x58,,Error
17.5530550000,0x8B,,
17.5541050000,0xFD,,
17.5551550000,0x8B,,
17.5562100000,0xF9,,
17.5572600000,0x8B,,
17.5583100000,0x7D,,
17.5593600000,0x59,,
17.5604100000,0x8B,,
17.5614600000,0x8B,,
17.5625100000,0xD9,,
17.5635650000,0x8B,,
17.5646150000,0x71,,
17.5656650000,0x83,,
17.5667150000,0x00,,Error
17.8191650000,0x58,,Error
17.8208400000,0x8B,,
17.8218900000,0xFD,,
17.8229400000,0x8B,,
17.8239900000,0xF9,,
17.8250450000,0x8B,,
17.8260950000,0x7D,,
17.8271450000,0x59,,
17.8281950000,0x8B,,
17.8292450000,0x8B,,
17.8302950000,0xD9,,
17.8313450000,0x8B,,
17.8324000000,0x71,,
17.8334500000,0x83,,
17.8345000000,0x00,,Error
18.0911200000,0x58,,Error
18.0927900000,0x8B,,
18.0938450000,0xFD,,
18.0948950000,0x8B,,
18.0959450000,0xF9,,
18.0969950000,0x8B,,
18.0980450000,0x7D,,
18.0990950000,0x59,,
18.1001450000,0x8B,,
18.1012000000,0x8B,,
18.1022500000,0xD9,,
18.1033000000,0x8B,,
18.1043500000,0x71,,
18.1054000000,0x83,,
18.1064500000,0x00,,Error
18.3511250000,0x58,,Error
18.3528000000,0x8B,,
18.3538500000,0xFD,,
18.3549000000,0x8B,,
18.3559500000,0xF9,,
18.3570000000,0x8B,,
18.3580500000,0x7D,,
18.3591000000,0x59,,
18.3601500000,0x8B,,
18.3612050000,0x8B,,
18.3622550000,0xD9,,
18.3633050000,0x8B,,
18.3643550000,0x71,,
18.3654050000,0x83,,
18.3664550000,0x00,,Error
18.6111100000,0x58,,Error
18.6127850000,0x8B,,
18.6138350000,0xFD,,
18.6148850000,0x8B,,
18.6159350000,0xF9,,
18.6169850000,0x8B,,
18.6180400000,0x7D,,
18.6190900000,0x59,,
18.6201400000,0x8B,,
18.6211900000,0x8B,,
18.6222400000,0xD9,,
18.6232900000,0x8B,,
18.6243400000,0x71,,
18.6253950000,0x83,,
18.6264450000,0x00,,Error
18.8788050000,0x58,,Error
18.8804800000,0x8B,,
18.8815300000,0xFD,,
18.8825800000,0x8B,,
18.8836300000,0xF9,,
18.8846800000,0x8B,,
18.8857300000,0x7D,,
18.8867800000,0x59,,
18.8878350000,0x8B,,
18.8888850000,0x8B,,
18.8899350000,0xD9,,
18.8909850000,0x8B,,
18.8920350000,0x71,,
18.8930850000,0x83,,
18.8941350000,0x00,,Error
19.1487400000,0x58,,Error
19.1504150000,0x8B,,
19.1514650000,0xFD,,
19.1525150000,0x8B,,
19.1535650000,0xF9,,
19.1546150000,0x8B,,
19.1556700000,0x7D,,
19.1567200000,0x59,,
19.1577700000,0x8B,,
19.1588200000,0x8B,,
19.1598700000,0xD9,,
19.1609200000,0x8B,,
19.1619700000,0x71,,
19.1630200000,0x83,,
19.1640750000,0x00,,Error
19.4101900000,0x58,,Error
19.4118650000,0x8B,,
19.4129150000,0xFD,,
19.4139650000,0x8B,,
19.4150150000,0xF9,,
19.4160700000,0x8B,,
19.4171200000,0x7D,,
19.4181700000,0x59,,
19.4192200000,0x8B,,
19.4202700000,0x8B,,
19.4213200000,0xD9,,
19.4223700000,0x8B,,
19.4234200000,0x71,,
19.4244750000,0x83,,
19.4255250000,0x00,,Error
19.4902050000,0x58,,Error
19.4918750000,0x8B,,
19.4929300000,0xFD,,
19.4939800000,0x8B,,
19.4950300000,0xF9,,
19.4960800000,0x8B,,
19.4971300000,0x7D,,
19.4981800000,0x59,,
19.4992300000,0x8B,,
19.5002850000,0x8B,,
19.5013350000,0xD9,,
19.5023850000,0x8B,,
19.5034350000,0x71,,
19.5044850000,0x83,,
19.5055350000,0x00,,Error
19.5608400000,0x58,,Error
19.5625150000,0x8B,,
19.5635650000,0xFD,,
19.5646150000,0x8B,,
19.5656700000,0xF3,,
19.5667200000,0x8B,,
19.5677700000,0x57,,
19.5688200000,0x5F,,
19.5698700000,0x8B,,
19.5709200000,0x9F,,
19.5719700000,0x9D,,
19.5730250000,0x9F,,
19.5740750000,0x8B,,
19.5751250000,0x9D,,
19.5761750000,0x8B,,
19.5772250000,0x71,,
19.5782750000,0x83,,
19.5793250000,0x00,,Error
19.8168550000,0x58,,Error
19.8185300000,0x8B,,
19.8195800000,0xFD,,
19.8206300000,0x8B,,
19.8216800000,0xF9,,
19.8227300000,0x8B,,
19.8237850000,0x7D,,
19.8248350000,0x59,,
19.8258850000,0x8B,,
19.8269350000,0x8B,,
19.8279850000,0xD9,,
19.8290350000,0x8B,,
19.8300850000,0x71,,
19.8311400000,0x83,,
19.8321900000,0x00,,Error
20.0796350000,0x58,,Error
